frequency,monetary,age,gender,recency,Books,Clothing,Electronics,Groceries,Toys,mall_preference,payment_preference
2,3922.48,16,M,278,0.0470314698863984,0.0,0.8299009810120128,0.09675256470396279,0.02631498439762599,CYB,Credit Card
5,11812.25,30,F,102,0.024416178120171852,0.0,0.9515045821075578,0.00986264259561049,0.014216597176659825,CYB,Credit Card
1,83.54,47,M,486,0.0,0.0,0.0,0.0,1.0,MK,Mobile Payment
4,7554.37,44,F,182,0.0,0.11413923331793387,0.7595113821536409,0.11454164940292837,0.011807735125496897,MK,Credit Card
4,11097.779999999999,60,M,211,0.008241287897219084,0.12646853695063337,0.8050357819311611,0.04538114830173242,0.014873244919254123,TKO,Cash
2,463.04,45,M,339,0.0,0.0,0.0,0.8196052176917761,0.18039478230822392,CYB,Mobile Payment
2,10631.99,52,M,52,0.010359302444791616,0.035711094536394414,0.947523464563078,0.0,0.006406138455735944,TKO,Mobile Payment
3,7888.01,55,M,153,0.03517617244400045,0.05970834215473865,0.8890531325391322,0.0,0.01606235286212872,ST,Mobile Payment
1,660.82,68,M,699,0.1600889803577374,0.0,0.0,0.8399110196422627,0.0,ST,Credit Card
2,921.58,73,F,87,0.07639054666984961,0.2645565224939777,0.0,0.540604179778207,0.11844875105796566,MK,Mobile Payment
2,4697.64,19,F,377,0.022102587682325592,0.0,0.8506143510358393,0.1189639904292368,0.008319070852598325,ST,Cash
4,754.49,63,M,6,0.23845246457872205,0.0,0.0,0.6754363874935387,0.08611114792773926,MK,Credit Card
3,5307.76,35,F,370,0.017431082038374002,0.05551117608934842,0.8970130525871554,0.030044689285122158,0.0,MK,Credit Card
1,1239.56,31,F,316,0.0,0.0,0.9037481041659944,0.06598309077414567,0.030268805059859953,MK,Credit Card
1,124.59,31,M,87,1.0,0.0,0.0,0.0,0.0,TKO,Mobile Payment
6,6643.58,26,F,24,0.037493339434461544,0.08199043286902544,0.7029222196466364,0.1538086393179581,0.02378536873191863,TKO,Mobile Payment
1,9790.46,46,M,716,0.0,0.05481458481011107,0.945185415189889,0.0,0.0,MK,Cash
